_id,ltable_ID,rtable_ID,ltable_full name,ltable_club,ltable_overall,rtable_full_name,rtable_club,rtable_overall,gold_labels
57052,3438,1938,pal andre helland,rosenborg bk,72,pal andre helland,rosenborg bk,72,1
57160,3764,1797,orkan cinar,besiktas jk,72,orkan cnar,besiktas jk,72,1
57357,3560,1591,fernando canesin matos,kv oostende,72,sebastien siani,kv oostende,73,0
57625,3700,1516,danovis banguero,deportes tolima,72,angelo rodriguez,deportes tolima,73,0
57663,3257,1480,juan martin lucero,club tijuana,73,juan martin lucero,club tijuana,73,1
57698,3327,1830,tiago henrique damil gomes,f. santa maria da feira,72,tiago rafael maia silva,f. santa maria da feira,72,0
57821,3740,1811,luciano acosta,d.c. united,72,luciano acosta,d.c. united,72,1
58117,2988,2805,gianluca caprari,sampdoria,73,leonardo capezzi,sampdoria,70,0
58589,3351,3648,markel bergara larranaga,getafe cf,72,mauro arambarri,getafe cf,68,0
58657,2079,2834,jakob johansson,aek athens,75,konstantinos galanopoulos,aek athens,69,0
58689,2655,2834,jakob johansson,aek athens,74,konstantinos galanopoulos,aek athens,69,0
58720,1937,2541,amato ciciretti,benevento,75,lorenzo venuti,benevento,70,0
59080,2226,3549,salman al faraj,al hilal,74,abdullah al zori,al hilal,68,0
59172,3575,2507,dominik kaiser,rb leipzig,72,konrad laimer,rb leipzig,70,0
59556,3077,4765,ariel rojas,river plate,73,denis rodriguez,river plate,65,0
59750,2685,3926,stefan johansen,fulham,74,jordan graham,fulham,67,0
59771,2356,3037,fahad al muwallad,al ittihad,74,badr al nakhli,al ittihad,69,0
60704,2955,3986,pablo chavarria,stade de reims,73,xavier chavalerin,stade de reims,67,0
61248,3359,2758,russell martin,norwich city,72,matt jarvis,norwich city,70,0
61442,3627,4654,andre biyogo poko,kardemir karabukspor,72,andriy bliznichenko,kardemir karabukspor,65,0
62115,3366,2896,behrang safari,malmo ff,72,kingsley sarfo,malmo ff,69,0
62322,2337,2729,ewerton jose almeida santos,1. fc nurnberg,74,tobias werner,1. fc nurnberg,70,0
63393,2945,2503,sebastian dubarbier,estudiantes de la plata,73,ferney otero tovar,estudiantes de la plata,70,0
63444,3525,2904,zarko tomasevic,kv oostende,72,nicolas rajsel,kv oostende,69,0
63501,3631,2851,kevin stewart,hull city,72,stephen kingsley,hull city,70,0
64452,2872,5561,ashley westwood,burnley,73,fredrik ulvestad,burnley,66,0
64929,3149,6596,andres mosquera,club leon,73,miguel herrera,club leon,68,0
65326,1969,5224,paulo sergio mota,chaves,75,joao filipe couto patrao,chaves,65,0
65642,3448,7136,jean-armel kana-biyik,kayserispor,72,erkan kas,kayserispor,69,0
66340,3403,6628,mayer candelo,deportivo cali,72,miguel murillo,deportivo cali,68,0
66445,2629,7037,helder jorge rodrigues barbosa,akhisar belediyespor,74,petar grbic,akhisar belediyespor,69,0
66628,2967,6542,christopher schindler,huddersfield town,73,collin quaner,huddersfield town,68,0
66730,2112,5311,ravel morrison,club atlas,75,christian tabo,club atlas,65,0
67071,2202,6612,diego farias da silva,cagliari,74,paolo pancrazio farago,cagliari,68,0
67288,2179,7266,antonio latorre grueso,valencia cf,75,antonio latorre grueso,valencia cf,70,0
67328,2198,6826,nelson miguel castro oliveira,norwich city,74,harrison reed,norwich city,69,0
67637,2417,6096,jae sung lee,jeonbuk hyundai motors,74,seung gi lee,jeonbuk hyundai motors,67,0
67703,2567,6210,aitor sanz martin,cd tenerife,74,inaki saenz arenzana,cd tenerife,67,0
67864,3014,5913,matteo bianchetti,hellas verona,73,deian boldor,hellas verona,66,0
68008,2357,6867,kirill panchenko,dinamo moscow,74,evgeniy lutsenko,dinamo moscow,69,0
68035,3551,5146,young sun yun,sangju sangmu fc,72,jong won lee,sangju sangmu fc,65,0
68272,2349,5371,thabo matlaba,orlando pirates,74,justice chabalala,orlando pirates,65,0
69571,3316,6245,heiko westermann,fk austria wien,72,kevin friesenbichler,fk austria wien,67,0
69917,3392,7116,matteo ardemagni,avellino,72,leonardo morosini,avellino,69,0
70297,3162,8475,uros urevic,olympiacos cfp,73,uros urevic,olympiacos cfp,73,1
70480,3062,8377,anthony limbombe,club brugge kv,73,anthony limbombe,club brugge kv,73,1
70508,3595,8104,abdoulay diaby,club brugge kv,72,abdoulay diaby,club brugge kv,72,1
70934,3073,8749,gianluca caprari,sampdoria,73,ricardo alvarez,sampdoria,75,0
71130,1905,8817,nemanja nikolic,chicago fire soccer club,75,nemanja nikolic,chicago fire soccer club,75,1
71290,2489,9251,sergio sanchez ortega,rcd espanyol,74,carlos sanchez,rcd espanyol,77,0
71292,2489,9291,sergio sanchez ortega,rcd espanyol,74,victor sanchez mata,rcd espanyol,78,0
71382,2652,7966,marcel heller,fc augsburg,74,jan-ingwer callsen-bracker,fc augsburg,72,0
71791,3515,8074,ben marshall,wolverhampton wanderers,72,ben marshall,wolverhampton wanderers,72,1
71815,1930,8881,okay yokuslu,trabzonspor,75,okay yokuslu,trabzonspor,75,1
71943,3139,8220,marcel tisserand,vfl wolfsburg,73,marcel tisserand,vfl wolfsburg,73,1
72056,2580,8603,ricardo jorge pinto da silva,fc pacos de ferreira,74,ricardo jorge pinto da silva,fc pacos de ferreira,74,1
72236,1923,8875,santiago garcia,godoy cruz,75,santiago garcia,godoy cruz,75,1
72521,3411,8044,angel luis rodriguez diaz,getafe cf,72,angel luis rodriguez diaz,getafe cf,72,1
72719,2079,8622,jakob johansson,aek athens,75,jakob johansson,aek athens,74,0
72755,2655,8622,jakob johansson,aek athens,74,jakob johansson,aek athens,74,1
72899,3167,8262,isaac success,watford,73,isaac success,watford,73,1
73896,2875,8963,junior stanislas,bournemouth,73,simon francis,bournemouth,76,0
74036,2093,8640,salman al faraj,al hilal,75,salman al faraj,al hilal,74,0
74262,2412,8861,jason denayer,galatasaray sk,74,eren derdiyok,galatasaray sk,75,0
74451,3716,8739,nuno miguel jeronimo sequeira,sc braga,72,diogo jose figueiras,sc braga,74,0
74483,2387,8692,sven van beek,feyenoord,74,sven van beek,feyenoord,74,1
74495,2435,8714,sofyan amrabat,feyenoord,74,sofyan amrabat,feyenoord,74,1
74504,3191,8453,jeremiah st. juste,feyenoord,73,jeremiah st. juste,feyenoord,73,1
74515,3276,8453,jeremiah st. juste,feyenoord,73,jeremiah st. juste,feyenoord,73,1
74662,3703,8138,angel zaldivar,guadalajara,72,angel zaldivar,guadalajara,72,1
74867,2394,9098,thiago henrique mendes ribeiro,losc lille,74,thiago maia alencar,losc lille,76,0
74901,3662,8127,edgar miguel ie,losc lille,72,edgar miguel ie,losc lille,72,1
75358,3104,9050,matheus uribe,club america,73,oribe peralta,club america,76,0
75607,3096,8468,fernando tobio,rosario central,73,fernando tobio,rosario central,73,1
75650,2170,8187,antonin barak,udinese,75,antonin barak,udinese,72,0
75778,3255,8248,ali adnan,udinese,73,ali adnan,udinese,73,1
75865,3667,8129,wanderson maciel sousa campos,fc krasnodar,72,wanderson maciel sousa campos,fc krasnodar,72,1
75964,3208,9023,pierre lees-melou,ogc nice,73,maxime le marchand,ogc nice,76,0
76730,2811,9051,alexandr anyukov,zenit st. petersburg,73,yuriy zhirkov,zenit st. petersburg,76,0
76778,2783,8277,miguel angel de las cuevas,ca osasuna,73,miguel angel de las cuevas,ca osasuna,73,1
76944,2053,8489,francisco geraldes,rio ave fc,75,joao pedro barradas novais,rio ave fc,73,0
77084,2059,8908,joris gnagnon,stade rennais fc,75,joris gnagnon,stade rennais fc,75,1
77259,3192,8460,diego gonzalez polanco,malaga cf,73,diego gonzalez polanco,malaga cf,73,1
77363,3143,8394,mbwana ally samatta,krc genk,73,clinton mukoni mata pedro lourenco,krc genk,73,0
77472,2826,8319,vincent nogueira,rc strasbourg alsace,73,vincent nogueira,rc strasbourg alsace,73,1
77521,2504,8740,bryan dabo,fiorentina,74,bryan dabo,fiorentina,74,1
77785,2843,8335,roman neustadter,fenerbahce sk,73,roman neustadter,fenerbahce sk,73,1
78045,2902,8316,mahmut tekdemir,medipol basaksehir fk,73,mahmut tekdemir,medipol basaksehir fk,73,1
78085,2097,8496,haris seferovic,sl benfica,75,haris seferovic,sl benfica,74,0
78263,2104,8937,sylvester igboun,fc ufa,75,sylvester igboun,fc ufa,75,1
78531,2111,8661,diego rigonato rodrigues,stade de reims,75,diego rigonato rodrigues,stade de reims,74,0
78535,2300,8661,diego rigonato rodrigues,stade de reims,74,diego rigonato rodrigues,stade de reims,74,1
78863,3579,8098,kasper kusk,fc kbenhavn,72,kasper kusk,fc kbenhavn,72,1
78895,2318,8518,alejandro martinez sanchez,granada cf,74,darwin machis,granada cf,74,0
78949,3225,8445,hernan menosse,granada cf,73,hernan menosse,granada cf,73,1
78972,3683,8518,alberto martin romo garcia-adamez,granada cf,72,darwin machis,granada cf,74,0
79000,3137,7818,antonio di gaudio,parma,73,riccardo gagliolo,parma,71,0
79006,3222,7778,antonio di gaudio,parma,73,jacopo dezi,parma,71,0
79246,3198,8457,brandley kuwas,heracles almelo,73,brandley kuwas,heracles almelo,73,1
79270,2352,8561,ivan santini,stade malherbe caen,74,ivan santini,stade malherbe caen,74,1
79282,2379,9116,alexander djiku,stade malherbe caen,74,alexander djiku,stade malherbe caen,76,0
79301,2672,8546,vincent bessat,stade malherbe caen,74,vincent bessat,stade malherbe caen,74,1
79338,2992,9116,ismael diomande,stade malherbe caen,73,alexander djiku,stade malherbe caen,76,0
79407,3190,9274,cyle larin,orlando city soccer club,73,lamine sane,orlando city soccer club,77,0
79521,2198,8634,nelson miguel castro oliveira,norwich city,74,nelson miguel castro oliveira,norwich city,74,1
79668,3301,8093,christian luyindama,standard de liege,73,luis pedro cavanda,standard de liege,72,0
79851,2490,9308,marcio gonzaga de azevedo,paok,74,omar el kaddouri,paok,78,0
80075,2231,8650,shin wook kim,jeonbuk hyundai motors,74,shin wook kim,jeonbuk hyundai motors,74,1
80210,3677,8421,luciano da rocha neves,panathinaikos fc,72,lucas villafanez,panathinaikos fc,73,0
80303,2968,8225,pedro filipe teodosio mendes,montpellier herault sc,73,pedro filipe teodosio mendes,montpellier herault sc,73,1
80336,2241,8656,juan villar vazquez,cd tenerife,74,juan villar vazquez,cd tenerife,74,1
80428,2262,8542,antonino ragusa,sassuolo,74,antonino ragusa,sassuolo,74,1
80460,2903,7943,marcello gazzola,sassuolo,73,edoardo goldaniga,sassuolo,72,0
80493,3245,9166,luca mazzitelli,sassuolo,73,francesco magnanelli,sassuolo,77,0
80629,3042,8395,daniel bessa,hellas verona,73,daniel bessa,hellas verona,73,1
80771,2579,8604,yoan gouffran,goztepe sk,74,yoan gouffran,goztepe sk,74,1
81001,3437,7911,fabien lemoine,fc lorient,72,fabien lemoine,fc lorient,72,1
81133,3599,9721,jin ho sin,sangju sangmu fc,72,min kyu joo,sangju sangmu fc,67,0
81373,2324,8688,tiago alves sales,shimizu s-pulse,74,tiago alves sales,shimizu s-pulse,74,1
81452,3329,7997,javier guerra rodriguez,rayo vallecano,72,javier guerra rodriguez,rayo vallecano,72,1
81506,3404,8039,manuel iturra,club necaxa,72,manuel iturra,club necaxa,72,1
81556,2733,7715,daniel montenegro,club atletico huracan,73,federico mancinelli,club atletico huracan,71,0
81659,2399,7559,luis quinones,lobos b.u.a.p.,74,pedro aquino,lobos b.u.a.p.,70,0
81668,2400,8698,matias laba,vancouver whitecaps fc,74,matias laba,vancouver whitecaps fc,74,1
82111,2677,8581,levan mchedlidze,empoli,74,levan mchedlidze,empoli,74,1
82360,2926,8334,henri lansbury,aston villa,73,henri lansbury,aston villa,73,1
82490,3033,8244,mike van der hoorn,swansea city,73,mike van der hoorn,swansea city,73,1
82541,2581,8583,besart berisha,melbourne victory,74,besart berisha,melbourne victory,74,1
82662,2618,8610,felix bastians,vfl bochum 1848,74,felix bastians,vfl bochum 1848,74,1
82719,2784,8315,veli kavlak,besiktas jk,73,veli kavlak,besiktas jk,73,1
82891,3519,7988,benjamin jeannot,dijon fco,72,benjamin jeannot,dijon fco,72,1
82996,3331,7998,yoshito okubo,f.c. tokyo,72,yoshito okubo,f.c. tokyo,72,1
83149,2767,8302,jordens peters,willem ii,73,jordens peters,willem ii,73,1
83176,2775,8311,dwight tiendalli,oxford united,73,dwight tiendalli,oxford united,73,1
83197,2781,8313,federico dionisi,frosinone,73,federico dionisi,frosinone,73,1
83221,2822,8318,andreas bjelland,brentford,73,andreas bjelland,brentford,73,1
83322,3221,8438,lorenzo pasciuti,carpi,73,lorenzo pasciuti,carpi,73,1
83555,3383,8022,emmanuel cascione,cesena,72,emmanuel cascione,cesena,72,1
83565,3343,8010,manuel del moral fernandez,cd numancia,72,manuel del moral fernandez,cd numancia,72,1
83685,3768,8157,crislan da silva de souza,vegalta sendai,72,crislan da silva de souza,vegalta sendai,72,1
