name,full name,overall,club,league,nation,age,height,weight,foot,pac,acceleration,sprint speed,dri,agility,balance,reactions,ball control,dribbling,composure,sho,positioning,finishing,shot power,long_shots,volleys,penalties,defending,interceptions,heading accuracy,marking,standing tackle,sliding tackle,pas,vision,crossing,free kick accuracy,short passing,long passing,curve,phy,jumping,stamina,strength,aggression
sinclair,scott sinclair,77,celtic,scottish premiership,england,28,173,63,right,91,92,91,79,88,81,70,77,80,71,74,77,76,75,66,65,80,33,45,67,19,30,28,68,68,72,69,73,50,70,66,67,89,62,45
cattermole,lee cattermole,77,sunderland,efl championship,england,29,178,76,right,65,66,65,67,64,71,70,72,64,67,57,47,49,74,59,58,64,76,77,66,72,80,81,68,65,61,58,73,75,57,81,65,79,78,93
fabio coentrao,fabio alexandre silva coentrao,77,sporting cp,liga nos,portugal,30,179,66,left,75,77,73,76,67,76,68,72,81,77,65,65,65,69,64,63,54,76,80,71,72,77,82,72,69,77,51,75,69,78,69,77,68,64,82
maidana,jonatan maidana,77,river plate,primera division,argentina,32,185,86,right,60,51,68,52,58,49,76,61,39,73,37,50,32,45,32,42,46,77,74,76,82,78,70,61,55,59,46,63,78,45,79,76,64,85,82
schne,lasse schne,77,ajax,eredivisie,denmark,31,176,75,right,50,45,55,76,72,79,70,82,74,68,76,67,70,83,82,84,77,59,81,60,50,55,51,82,83,81,86,82,77,85,60,70,66,55,65
hetemaj,perparim hetemaj,77,chievo verona,calcio a,finland,31,175,76,right,78,78,78,78,84,83,75,78,77,77,65,73,54,76,73,77,69,70,73,58,68,72,76,76,76,74,69,78,76,74,79,90,91,69,86
castan,leandro castan da silva,77,roma,calcio a,brazil,31,186,80,left,63,60,65,58,52,59,69,62,53,75,33,22,21,63,36,22,26,78,80,77,79,77,76,47,37,34,24,58,64,31,71,81,38,83,79
andreolli,marco andreolli,77,cagliari,calcio a,italy,31,187,80,right,56,44,65,54,59,55,68,55,49,74,28,33,16,59,24,23,34,80,78,76,80,82,78,40,28,22,18,55,55,31,71,85,42,81,78
trejo,oscar trejo,77,rayo vallecano,laliga 1 i 2 i 3,argentina,29,180,79,right,71,67,74,80,81,76,71,80,82,74,71,70,72,73,68,72,70,62,62,66,59,65,55,76,79,74,72,78,72,74,73,61,84,69,70
caicedo,felipe caicedo,77,lazio,calcio a,ecuador,29,183,84,left,72,70,74,72,61,67,78,77,72,70,74,82,72,84,68,75,73,47,43,75,42,44,47,63,61,59,68,69,53,66,81,75,66,90,80
durica,jan durica,77,trabzonspor,super lig,slovakia,36,188,86,left,33,34,33,59,58,52,73,62,54,76,45,20,30,83,58,40,14,79,78,81,78,79,79,60,56,55,67,62,67,60,77,74,68,86,66
ruiz,bryan ruiz,77,sporting cp,liga nos,costa rica,32,188,78,left,65,64,66,82,74,71,72,84,85,80,71,74,65,77,75,79,73,44,49,75,36,38,48,77,78,78,74,78,73,81,57,56,56,67,33
vieirinha,adelino andre vieira de freitas,77,paok,hellas liga,portugal,32,172,73,right,75,77,74,82,84,85,78,80,83,72,73,74,73,75,75,65,66,64,72,42,65,64,63,74,74,76,67,76,70,74,62,69,67,54,74
de guzman,jonathan de guzman,77,eintracht frankfurt,bundesliga,holland,30,175,70,right,78,79,78,80,79,87,70,82,80,69,74,69,68,84,80,69,69,50,49,52,48,51,48,76,75,77,75,78,74,79,65,78,69,65,58
okaka,stefano okaka,77,watford,premier league,italy,28,186,90,right,72,67,77,71,57,47,71,75,75,71,74,74,74,81,69,67,68,27,21,84,15,25,20,57,62,50,48,71,29,58,83,76,73,93,73
vormer,ruud vormer,77,club brugge kv,belgium pro league,holland,29,178,81,right,64,65,64,68,63,67,78,72,65,72,75,79,74,77,73,71,79,71,76,70,66,74,70,77,74,76,77,79,77,75,80,72,92,75,77
kabore,charles kabore,77,fc krasnodar,russian football premier league,burkina faso,30,183,78,right,71,72,70,70,73,61,77,74,66,73,61,65,53,74,70,31,65,75,77,69,75,76,73,70,69,69,53,76,73,43,80,81,91,74,83
da silva,damien da silva,77,stade malherbe caen,ligue 1 conforama,france,29,184,82,right,57,47,66,55,60,61,64,68,42,73,31,39,25,28,41,36,43,78,78,78,78,79,76,53,40,49,31,69,51,28,73,73,63,75,82
luisinho,luis carlos correia pinto,77,rc deportivo,laliga santander,portugal,32,171,67,left,70,72,68,76,73,77,76,77,77,68,53,66,49,59,53,45,51,76,77,66,74,78,79,73,64,80,59,78,68,67,65,44,71,57,82
hasebe,makoto hasebe,77,eintracht frankfurt,bundesliga,japan,34,180,72,right,63,65,61,71,73,72,77,74,67,78,51,62,45,54,53,57,61,76,77,66,77,78,77,75,75,76,64,77,76,71,72,74,76,69,73
rukavina,antonio rukavina,77,villarreal cf,laliga santander,serbia,34,177,74,right,74,71,76,68,67,75,81,71,65,67,48,66,36,63,58,49,42,76,80,63,76,77,78,69,59,79,38,73,70,68,72,78,70,69,78
caceres,martin caceres,77,hellas verona,calcio a,uruguay,30,180,78,right,74,74,74,65,79,74,70,64,60,76,51,50,37,70,59,65,50,79,80,76,80,78,77,63,58,68,41,65,65,68,75,91,72,74,76
sanchez,carlos sanchez,77,fiorentina,laliga santander,colombia,32,182,82,left,67,65,68,70,63,47,74,75,70,74,58,58,48,72,68,43,62,74,78,70,68,79,70,70,68,60,58,78,76,52,84,75,84,87,80
nordtveit,havard nordtveit,77,tsg 1899 hoffenheim,bundesliga,norway,27,188,83,right,64,63,64,67,61,59,77,71,64,71,53,57,40,72,66,38,56,77,75,77,77,78,77,71,70,66,66,73,77,64,79,68,79,81,78
rosales,roberto rosales,77,malaga cf,laliga santander,venezuela,29,175,70,right,77,76,78,78,86,79,78,79,77,74,59,69,51,73,63,54,48,71,73,60,66,76,80,71,63,78,54,75,68,75,72,73,86,65,73
gradel,max gradel,77,toulouse football club,ligue 1 conforama,cote d'ivoire,30,177,70,right,85,86,85,80,84,70,76,77,82,76,73,74,73,73,71,70,75,44,51,66,38,40,35,71,70,73,74,74,64,68,60,68,71,55,59
albrighton,marc albrighton,77,leicester city,premier league,england,28,174,67,right,79,79,79,77,79,81,71,77,77,72,69,73,69,72,67,72,60,47,56,42,41,50,45,74,74,83,73,69,73,82,70,62,86,62,73
saivet,henri saivet,77,newcastle united,super lig,senegal,27,175,73,right,74,75,74,78,82,76,76,78,79,70,71,75,73,75,65,69,66,64,64,77,60,66,62,78,78,78,76,78,77,73,70,90,75,69,59
chedjou,aurelien chedjou,77,medipol basaksehir fk,super lig,cameroon,32,184,77,right,66,67,66,62,62,58,70,62,62,64,56,54,49,70,59,59,57,75,77,78,73,75,72,66,63,60,50,74,73,51,79,86,73,83,76
sissoko,moussa sissoko,77,tottenham hotspur,premier league,france,28,187,91,right,77,75,78,75,70,59,77,76,78,73,74,76,72,85,71,67,68,72,76,70,69,72,71,75,68,76,74,79,74,75,85,80,87,88,78
delph,fabian delph,77,manchester city,premier league,england,28,174,60,left,74,76,72,82,89,86,72,79,83,76,69,71,63,80,73,59,65,68,75,53,63,73,71,73,72,69,48,80,75,72,75,68,88,66,82
yuri,yuri berchiche izeta,77,paris saint-germain,ligue 1 conforama,spain,28,181,80,left,78,79,77,70,73,71,72,74,66,75,56,45,36,78,79,54,59,76,67,72,79,77,83,64,45,78,55,66,66,77,81,85,83,77,88
rui fonte,rui pedro da rocha fonte,77,fulham,efl championship,portugal,27,181,73,right,71,70,71,75,75,64,75,78,76,68,75,80,76,78,69,76,74,35,32,75,28,33,28,69,68,58,63,76,68,76,75,84,81,72,73
subotic,neven subotic,77,borussia dortmund,ligue 1 conforama,serbia,29,191,83,right,59,51,65,46,52,58,77,41,39,75,45,48,29,81,47,32,43,80,76,84,80,82,81,50,44,47,58,50,66,33,76,73,68,78,81
choupo-moting,eric maxim choupo-moting,77,stoke city,premier league,cameroon,28,191,91,right,77,76,78,82,76,66,77,83,86,72,73,76,75,77,64,75,68,36,38,74,26,36,20,68,66,64,44,75,68,76,72,64,75,77,59
terodde,simon terodde,77,vfb stuttgart,bundesliga,germany,30,192,83,right,70,64,74,66,54,56,76,73,63,77,78,79,81,79,71,77,71,30,23,80,11,42,19,54,58,50,44,64,40,38,77,65,68,84,74
roncaglia,facundo roncaglia,77,rc celta,laliga santander,argentina,31,179,76,right,67,63,70,64,65,69,72,69,59,70,53,51,38,80,73,25,35,78,80,70,75,81,80,68,59,68,52,69,81,67,72,80,66,73,74
carcela-gonzalez,mehdi carcela-gonzalez,77,olympiacos cfp,belgium pro league,morocco,28,176,67,left,83,86,80,83,87,80,72,82,86,76,71,73,72,69,72,70,65,33,39,35,25,38,30,71,69,71,71,73,69,80,55,66,70,53,38
fernando,fernando reges,77,galatasaray sk,super lig,brazil,30,183,76,right,64,64,64,68,71,57,76,71,64,76,61,59,54,76,68,41,54,78,80,70,76,79,81,66,62,60,53,73,68,65,82,72,82,81,87
sankhare,younousse sankhare,77,fc girondins de bordeaux,ligue 1 conforama,senegal,28,184,80,left,66,65,67,73,68,54,77,75,75,77,69,74,68,76,68,68,59,75,77,77,73,76,71,73,75,68,50,78,74,63,80,69,83,79,82
lang,michael lang,77,fc basel,raiffeisen super league,switzerland,27,185,79,right,74,72,75,66,65,57,64,75,60,71,69,65,68,74,68,74,59,78,74,80,78,79,77,67,48,80,55,74,73,45,79,80,85,80,69
alessandrini,romain alessandrini,77,la galaxy,major league soccer,france,28,173,70,left,89,88,89,79,90,89,78,77,77,75,75,72,73,81,74,75,73,35,33,53,25,42,30,73,73,78,79,70,68,78,64,61,75,58,65
allen,joe allen,77,stoke city,premier league,wales,28,168,62,right,62,65,60,77,78,90,82,77,75,81,63,69,68,63,60,38,52,70,76,44,68,77,70,73,72,68,50,82,75,58,70,78,86,59,74
popov,ivelin popov,77,spartak moscow,russian football premier league,bulgaria,30,185,77,right,79,80,78,75,74,60,74,79,74,72,73,76,72,79,72,66,71,48,49,66,39,51,44,74,75,69,76,76,74,67,70,62,75,68,73
king,joshua king,77,bournemouth,premier league,norway,26,180,74,right,90,87,92,75,78,71,72,72,77,72,77,77,82,78,69,67,72,29,33,63,22,26,19,60,56,63,42,68,48,69,70,72,73,77,50
hernandez,elias hernandez,77,club leon,liga bancomer mx,mexico,29,171,65,right,74,71,77,78,77,76,70,81,78,74,71,70,71,72,73,70,70,50,42,49,60,45,52,76,78,80,67,76,75,70,58,70,77,55,39
fer,leroy fer,77,swansea city,premier league,holland,28,188,90,right,71,70,72,74,71,51,73,75,78,72,75,75,71,85,78,66,72,70,70,80,66,70,69,72,73,68,44,79,76,49,81,91,90,75,80
radovanovic,ivan radovanovic,77,chievo verona,calcio a,serbia,29,187,80,right,60,50,68,69,58,58,73,75,67,75,59,61,40,84,79,56,58,74,79,72,72,76,66,73,75,62,58,78,78,65,80,72,77,82,79
kouyate,cheikhou kouyate,77,west ham united,premier league,senegal,28,189,83,right,74,71,77,69,65,58,79,73,68,72,65,72,65,74,63,50,52,77,81,79,70,81,75,61,63,54,47,68,64,39,88,78,92,88,84
diouf,mame diouf,77,stoke city,premier league,senegal,30,185,76,right,83,81,85,68,74,66,76,70,65,73,75,78,77,80,64,71,75,42,51,84,42,29,21,56,60,62,36,67,31,32,78,92,77,80,72
rafael toloi,rafael toloi,77,atalanta,calcio a,brazil,27,185,75,right,58,63,54,61,65,66,78,62,55,70,46,36,28,75,62,27,64,78,80,76,78,79,77,53,48,32,70,63,65,41,70,76,60,71,78
rafael carioca,rafael de souza pereira,77,tigres u.a.n.l.,liga bancomer mx,brazil,28,179,72,right,76,74,77,75,75,75,75,77,73,80,64,69,56,76,69,58,63,74,78,51,76,77,74,74,75,65,55,81,77,60,70,56,78,64,78
holtby,lewis holtby,77,hamburger sv,bundesliga,germany,27,176,72,left,70,74,67,79,83,78,77,80,78,74,68,74,65,72,69,69,66,55,71,30,61,44,61,78,75,77,76,80,77,81,73,90,86,65,74
janmaat,daryl janmaat,77,watford,premier league,holland,28,185,80,right,74,72,75,74,71,63,79,76,74,66,63,68,55,76,64,67,62,74,73,70,74,77,75,70,70,77,56,70,68,64,81,71,92,75,84
phillips,matt phillips,77,west bromwich albion,premier league,scotland,27,183,75,right,87,88,86,77,78,71,65,74,82,67,71,72,69,80,74,45,61,35,28,54,29,40,34,69,70,77,48,68,67,72,71,54,74,78,55
hanni,sofiane hanni,77,rsc anderlecht,russian football premier league,algeria,27,178,72,right,75,76,74,77,77,75,75,76,79,76,74,75,74,76,75,70,69,46,51,57,30,54,45,74,79,74,70,75,69,71,65,34,80,65,53
valdifiori,mirko valdifiori,77,torino,calcio a,italy,31,185,71,right,63,64,62,74,68,62,76,79,73,75,56,53,46,70,68,59,52,69,75,65,62,74,66,81,82,76,74,84,86,72,71,67,77,66,79
dragovic,aleksandar dragovic,77,leicester city,premier league,austria,27,184,76,right,72,69,74,65,66,64,74,68,62,70,51,63,41,69,53,37,65,78,81,76,76,80,75,61,65,49,61,68,62,32,76,80,73,80,69
shelvey,jonjo shelvey,77,newcastle united,premier league,england,26,185,80,right,62,61,62,73,62,65,72,75,74,75,73,70,67,85,81,56,71,60,58,69,55,64,59,79,80,73,73,82,84,66,77,65,77,76,83
risse,marcel risse,77,1. fc koln,bundesliga,germany,28,183,75,right,80,81,79,76,74,72,75,76,77,67,77,75,73,84,82,68,72,67,72,52,65,71,66,74,73,76,76,74,72,70,67,72,72,67,60
oczipka,bastian oczipka,77,fc schalke 04,bundesliga,germany,29,185,85,left,71,66,75,72,65,60,74,74,73,74,59,63,50,75,64,47,70,76,75,68,74,79,79,71,59,78,70,74,73,59,77,75,79,76,76
latza,danny latza,77,1. fsv mainz 05,bundesliga,germany,28,179,76,right,68,69,67,75,75,76,76,80,71,80,54,70,33,74,76,47,73,70,72,61,71,71,67,75,78,71,59,80,77,54,76,73,90,68,79
ekici,mehmet ekici,77,fenerbahce sk,super lig,turkey,27,180,76,right,75,75,75,78,78,72,72,80,78,74,74,73,65,85,83,77,74,61,65,60,58,67,49,78,78,74,87,77,76,88,70,62,74,68,70
salibur,yannis salibur,77,en avant de guingamp,ligue 1 conforama,france,27,177,76,left,87,90,84,77,82,75,72,76,78,73,74,74,73,78,75,62,65,40,48,58,36,33,35,71,70,76,74,72,65,72,64,77,72,65,46
andre,benjamin andre,77,stade rennais fc,ligue 1 conforama,france,27,180,76,right,71,68,73,75,73,72,76,76,75,76,64,70,61,69,65,56,66,74,73,68,72,78,71,75,76,72,46,80,79,68,77,79,80,77,75
arslan,tolgay arslan,77,besiktas jk,super lig,turkey,27,180,77,right,74,75,73,80,74,77,70,83,80,78,71,68,64,82,75,68,76,62,68,58,55,68,61,77,77,74,73,80,76,76,70,58,74,65,79
rincon,tomas rincon,77,torino,calcio a,venezuela,30,177,76,right,74,76,72,76,75,83,76,77,76,74,58,66,45,77,70,60,46,76,80,58,74,82,78,73,72,69,52,79,77,52,80,91,87,75,82
osako,yuya osako,77,1. fc koln,bundesliga,japan,27,182,71,right,76,77,76,80,80,78,78,80,80,77,72,79,71,75,69,74,70,36,31,70,28,39,32,67,79,42,53,79,59,72,66,78,68,64,65
reyes,diego reyes,77,fc porto,liga nos,mexico,25,189,74,right,65,63,66,70,68,55,73,77,67,67,45,44,44,49,47,37,48,78,79,79,79,76,81,62,52,49,36,79,68,45,68,70,68,69,64
bertolacci,andrea bertolacci,77,genoa,calcio a,italy,27,178,75,left,74,72,76,78,79,75,74,79,79,72,69,76,62,78,76,69,56,66,70,64,60,68,68,76,76,72,64,80,76,70,72,65,79,70,69
bruno cesar,bruno cesar zanaki,77,sporting cp,liga nos,brazil,29,177,75,left,63,62,63,79,69,77,71,80,82,75,78,74,72,87,85,79,68,66,71,58,63,68,68,81,80,83,83,81,80,83,71,58,72,69,79
sane,lamine sane,77,sv werder bremen,bundesliga,senegal,30,192,77,right,60,52,67,61,54,46,70,62,61,69,44,42,32,69,55,22,33,77,74,83,75,79,76,60,61,49,23,70,69,48,77,83,68,80,79
aquino,javier aquino,77,tigres u.a.n.l.,liga bancomer mx,mexico,28,168,62,right,91,92,91,80,91,92,65,77,80,75,66,75,64,74,64,51,67,34,34,47,22,40,36,72,72,73,63,74,68,72,54,76,75,40,59
nyom,allan nyom,77,west bromwich albion,premier league,cameroon,29,188,81,right,75,72,78,67,50,50,74,72,68,67,47,51,27,74,66,44,37,78,75,69,77,83,81,63,54,75,30,65,64,68,83,57,84,86,80
cook,steve cook,77,bournemouth,premier league,england,26,185,82,right,56,60,53,61,56,69,75,68,54,69,27,15,24,47,16,31,20,77,76,74,79,78,75,51,35,40,22,70,60,22,77,72,68,82,77
propper,davy propper,77,brighton & hove albion,premier league,holland,26,185,79,right,67,65,68,75,72,64,77,82,72,74,72,66,65,82,82,72,69,61,62,65,55,68,54,73,82,58,71,78,71,74,75,70,89,69,76
braithwaite,martin braithwaite,77,middlesbrough,ligue 1 conforama,denmark,26,177,77,right,84,82,86,77,86,76,72,77,76,77,75,81,77,77,70,73,73,34,31,66,32,30,26,73,73,71,75,77,65,71,78,84,81,77,75
pejcinovic,nemanja pejcinovic,77,lokomotiv moscow,russian football premier league,serbia,30,185,80,right,53,43,62,55,58,60,72,63,45,71,40,30,30,59,44,44,37,76,77,80,76,75,76,61,56,67,31,67,61,47,78,90,71,78,82
andre pinto,andre almeida pinto,77,sporting cp,liga nos,portugal,28,194,86,right,50,50,50,51,37,34,70,61,44,72,45,33,34,68,54,36,46,78,77,78,77,80,82,54,47,44,50,66,58,35,80,34,67,91,79
potuk,alper potuk,77,fenerbahce sk,super lig,turkey,26,177,67,right,86,87,86,80,89,83,76,76,82,73,68,74,66,74,70,54,56,49,46,62,46,48,54,73,71,74,40,78,76,74,68,72,72,61,78
gray,andre gray,77,watford,premier league,england,26,180,78,right,89,90,89,72,78,75,72,70,72,71,76,79,80,80,64,67,74,29,33,65,22,23,20,62,67,61,39,66,54,57,78,72,79,81,70
okazaki,shinji okazaki,77,leicester city,premier league,japan,31,174,70,right,74,76,73,78,83,71,84,78,77,70,74,82,74,77,68,76,74,47,45,74,35,55,34,69,69,66,50,76,66,53,75,91,79,69,80
montoya,martin montoya torralbo,77,valencia cf,laliga santander,spain,26,174,72,right,83,83,83,72,79,80,66,73,69,67,50,58,24,83,68,66,50,75,78,59,76,77,80,69,59,76,55,69,75,77,71,78,79,68,69
mooy,aaron mooy,77,huddersfield town,premier league,australia,27,174,78,right,69,67,70,74,71,73,69,77,74,78,70,73,69,71,72,65,70,66,70,50,61,72,66,77,80,73,71,79,79,71,76,72,78,76,75
cairney,tom cairney,77,fulham,efl championship,scotland,27,183,72,left,71,74,69,77,80,74,72,79,75,77,69,73,66,75,75,61,59,60,63,58,60,63,51,76,79,70,72,81,74,73,68,60,80,69,51
ings,danny ings,77,liverpool,premier league,england,25,178,73,right,82,83,82,77,77,79,74,77,78,70,74,79,77,74,67,66,68,35,39,71,33,24,27,64,68,62,36,69,61,57,71,81,75,73,60
pabon,dorlan pabon,77,monterrey,liga bancomer mx,colombia,30,168,73,right,88,90,86,78,82,83,76,76,79,74,79,79,77,86,77,77,80,41,44,51,39,40,33,71,76,69,75,69,70,76,81,77,86,81,74
imbula,giannelli imbula,77,toulouse football club,ligue 1 conforama,france,25,186,77,left,72,73,71,80,72,69,66,81,84,79,61,75,51,79,77,28,29,62,64,62,60,62,59,73,76,62,38,83,76,65,72,69,78,72,65
toornstra,jens toornstra,77,feyenoord,eredivisie,holland,28,178,74,right,70,66,73,75,67,72,76,78,75,78,76,74,76,82,77,72,56,51,40,65,49,56,53,78,79,78,75,78,75,78,74,49,92,70,69
abdennour,aymen abdennour,77,olympique de marseille,ligue 1 conforama,tunisia,28,187,84,left,63,61,64,54,65,67,67,51,48,75,55,53,48,74,60,32,51,77,75,75,78,77,80,56,53,56,39,58,62,48,81,80,67,88,83
jordi amat,jordi amat maas,77,real betis,laliga santander,spain,25,185,83,right,68,63,72,58,59,58,70,65,50,69,48,30,34,75,65,28,28,76,71,74,78,77,80,53,59,31,36,68,52,40,76,78,66,79,82
stambouli,benjamin stambouli,77,fc schalke 04,bundesliga,france,27,180,82,right,65,65,65,71,76,65,74,76,66,74,56,62,50,65,62,40,50,76,78,68,72,80,75,66,73,45,43,77,74,42,77,73,83,74,78
bell,stefan bell,77,1. fsv mainz 05,bundesliga,germany,26,192,88,right,61,55,66,53,52,43,76,55,49,75,40,33,34,65,30,37,43,80,82,81,77,82,74,56,47,43,40,69,66,33,74,64,65,83,65
pogba,florentin pogba,77,as saint-etienne,super lig,guinea,27,189,93,left,66,63,69,57,57,52,68,59,54,72,45,36,21,77,70,45,38,76,77,73,75,78,73,61,42,69,69,67,58,60,85,77,74,92,82
luis alberto,luis alberto romero alconchel,77,lazio,calcio a,spain,25,183,74,right,63,67,60,76,66,50,66,81,79,72,71,75,73,68,75,58,56,27,28,45,24,25,18,77,74,76,69,83,75,73,50,40,47,61,29
sergio leon,sergio leon limones,77,real betis,laliga santander,spain,29,178,73,right,76,77,76,76,82,75,74,76,75,75,78,78,82,75,74,77,80,34,35,71,26,33,21,56,61,41,64,67,34,69,69,77,75,66,69
redmond,nathan redmond,77,southampton,premier league,england,24,173,69,right,87,89,86,81,91,86,65,79,83,70,69,74,69,71,71,55,57,24,22,33,18,26,30,70,72,72,65,72,63,69,52,50,72,47,38
aranguiz,charles aranguiz,77,bayer 04 leverkusen,bundesliga,chile,28,171,71,right,75,77,73,77,81,85,70,80,74,76,71,75,64,80,75,68,79,57,53,53,54,64,61,80,80,78,76,81,81,75,69,61,86,64,62
sergio alvarez,sergio alvarez diaz,77,r. sporting,laliga 1 i 2 i 3,spain,26,183,73,right,69,70,68,69,71,67,79,76,61,83,66,72,60,81,73,59,41,72,80,51,64,81,70,69,73,48,50,78,80,59,76,71,85,73,74
clasie,jordy clasie,77,club brugge kv,belgium pro league,holland,26,169,66,right,63,65,62,76,74,90,79,82,70,72,66,65,55,80,74,73,64,66,80,27,64,73,61,76,77,66,70,81,76,78,73,56,73,69,85
galvez,alejandro galvez jimena,77,sd eibar,laliga santander,spain,28,188,79,right,43,40,45,59,52,56,72,64,54,69,37,47,29,53,36,41,44,76,76,73,74,78,76,60,50,39,58,74,71,47,82,62,75,85,87
sergi gomez,sergi gomez sola,77,rc celta,laliga santander,spain,25,185,77,right,43,51,36,63,53,54,74,75,56,68,41,52,35,45,47,37,41,78,80,73,76,80,75,64,56,45,46,80,77,49,73,69,66,78,69
funes mori,ramiro funes mori,77,everton,premier league,argentina,27,186,78,left,68,66,70,65,65,61,71,68,63,64,49,49,40,69,56,25,52,76,74,80,75,78,76,61,47,73,58,67,55,49,78,78,72,79,83
wilson eduardo,wilson bruno naval costa eduardo,77,sc braga,liga nos,portugal,27,179,73,right,80,78,82,77,73,68,77,78,78,76,78,79,77,83,79,77,73,30,24,66,22,33,23,73,73,77,71,73,63,82,68,64,75,68,59
campana,jose gomez campana,77,levante ud,laliga santander,spain,24,179,72,right,66,66,66,76,68,75,74,81,75,70,69,70,64,77,74,57,69,73,75,65,70,76,74,78,77,73,80,81,76,81,72,58,76,73,68
pedro obiang,pedro mba obiang avomo,77,west ham united,premier league,spain,25,185,75,right,68,67,69,74,71,63,69,78,74,79,59,62,50,74,63,60,58,75,76,70,70,79,77,75,78,68,62,80,79,56,77,74,77,79,71
blandi,nicolas blandi,77,san lorenzo de almagro,primera division,argentina,28,180,76,right,66,67,65,70,79,60,78,75,65,79,78,83,82,75,72,77,78,38,41,80,33,30,27,59,43,55,54,69,63,55,64,82,74,64,47
bruno,bruno gonzalez cabrera,77,getafe cf,laliga santander,spain,27,185,86,right,37,34,39,46,30,32,77,64,34,69,33,36,23,66,22,23,42,78,74,77,79,80,75,48,35,21,31,65,68,49,81,65,75,86,81
cristian tello,cristian tello herrera,77,real betis,laliga santander,spain,26,178,65,right,90,90,90,80,83,75,68,82,82,66,70,72,68,78,68,66,56,28,26,47,20,30,26,70,69,74,64,74,60,72,59,72,75,54,48
uth,mark uth,77,tsg 1899 hoffenheim,bundesliga,germany,26,185,74,left,75,76,75,76,74,67,79,77,77,70,79,80,78,81,82,72,72,33,39,69,26,28,25,69,70,67,57,72,68,60,67,77,70,67,61
juan jesus,juan guilherme nunes jesus,77,roma,calcio a,brazil,26,185,76,left,79,78,79,60,68,58,72,55,60,72,33,38,20,62,35,17,37,77,78,74,75,79,77,53,34,66,36,58,56,48,83,88,77,84,85
de preville,nicolas de preville,77,fc girondins de bordeaux,ligue 1 conforama,france,27,182,77,right,84,87,82,78,80,75,78,78,79,72,77,78,78,77,74,75,76,34,45,69,25,22,39,73,75,72,73,75,69,73,64,66,74,57,70
krejci,ladislav krejci,77,bologna,calcio a,czech republic,25,180,68,left,85,86,84,80,79,79,72,80,82,78,70,75,64,77,75,69,67,42,45,40,35,47,43,76,72,81,76,77,73,79,60,81,76,47,68
srensen,frederik srensen,77,1. fc koln,bundesliga,denmark,25,194,88,right,60,52,67,63,51,35,72,64,65,73,33,30,18,67,33,26,40,77,73,77,77,80,76,62,65,53,26,71,66,48,77,66,69,84,74
veretout,jordan veretout,77,fiorentina,calcio a,france,25,176,67,right,66,68,64,75,69,69,75,79,75,72,74,68,73,77,74,70,77,65,68,53,63,71,63,77,75,78,73,79,76,69,71,57,80,70,65
recio,jose luis garcia del pozo,77,malaga cf,laliga santander,spain,27,183,74,right,56,58,54,73,67,61,77,77,72,69,66,75,58,81,72,55,61,72,78,59,69,77,64,75,76,64,67,81,76,76,73,54,75,68,89
hinteregger,martin hinteregger,77,fc augsburg,bundesliga,austria,25,185,86,left,68,64,71,59,62,62,68,62,55,65,61,61,48,83,71,49,64,77,76,77,78,78,77,64,65,53,63,63,81,58,81,85,77,82,82
sturaro,stefano sturaro,77,juventus,calcio a,italy,25,181,82,right,76,76,76,76,75,77,70,77,76,74,67,74,55,78,78,74,68,74,74,64,72,78,78,73,72,68,64,77,75,64,79,67,89,73,86
gouweleeuw,jeffrey gouweleeuw,77,fc augsburg,bundesliga,holland,26,187,75,right,73,69,76,63,66,63,74,64,60,72,59,61,48,72,77,49,42,78,82,72,77,81,74,64,71,56,36,67,76,42,74,62,72,77,73
jese,jese rodriguez ruiz,77,stoke city,premier league,spain,25,178,72,right,83,87,80,80,85,74,71,81,81,74,71,75,71,73,72,55,68,24,33,42,16,23,12,73,70,73,66,77,69,74,56,71,63,62,29
defrel,gregoire defrel,77,roma,calcio a,france,26,180,79,left,89,91,87,82,82,72,74,83,84,73,77,80,78,78,75,71,69,25,37,61,18,15,18,68,73,70,69,67,60,63,54,41,65,52,49
alvaro,alvaro gonzalez soberon,77,villarreal cf,laliga santander,spain,28,180,68,right,70,70,70,58,68,66,71,64,48,67,30,45,22,48,26,31,36,76,77,75,76,75,82,54,39,51,45,66,57,47,76,91,74,70,89
carrillo,andre carrillo,77,watford,premier league,peru,26,181,78,right,84,86,83,78,80,77,75,79,79,73,73,76,71,76,75,74,68,32,34,70,19,32,25,71,75,76,55,73,60,78,67,74,65,72,53
kongolo,terence kongolo,77,as monaco football club sa,premier league,holland,24,188,70,left,81,81,81,68,75,63,70,69,65,73,42,49,27,67,52,40,42,78,77,74,75,82,84,64,49,67,44,72,65,63,76,86,77,77,72
arias,santiago arias,77,psv,eredivisie,colombia,26,175,72,right,84,84,84,75,78,76,75,74,74,75,45,65,35,56,50,43,56,72,70,62,75,74,76,65,52,75,41,72,72,31,72,82,88,62,75
luis neto,luis carlos novo neto,77,fenerbahce sk,super lig,portugal,29,187,71,right,58,57,59,54,69,61,78,48,49,72,37,44,33,42,37,40,47,80,81,82,80,77,80,59,46,42,43,72,77,52,69,79,72,64,76
mario rui,mario rui silva duarte,77,napoli,calcio a,portugal,26,170,67,left,86,88,84,74,88,89,75,73,71,73,49,59,27,69,73,53,60,72,73,60,72,75,75,70,60,77,60,73,71,63,69,92,92,54,73
