full name,name,club,nation,overall,league,age,height,reactions,positioning,penalties,long passing,standing tackle,ball control,interceptions,acceleration,marking,strength,pac,aggression,agility,volleys,sprint speed,phy,pas,sliding tackle,long_shots,short passing,shot power,curve,dri,jumping,vision,crossing,finishing,balance,heading accuracy,defending,sho,free kick accuracy,composure,foot,dribbling,stamina
mariano ferreira filho,mariano,galatasaray sk,brazil,79,super lig,31,177,77,74,61,73,75,82,74,86,69,69,82,76,74,58,79,75,74,81,68,76,84,82,75,70,64,83,54,73,66,73,64,56,70,right,71,86
aleksandar kolarov,kolarov,roma,serbia,79,calcio a,32,187,81,69,74,77,81,75,80,64,74,76,66,85,63,64,67,78,78,80,80,73,91,85,75,81,76,89,55,58,80,78,69,81,85,left,78,75
danny drinkwater,drinkwater,chelsea,england,79,premier league,28,177,79,74,53,83,79,79,76,65,70,74,66,74,69,69,67,75,75,76,70,79,77,72,76,56,77,64,58,78,61,74,65,69,77,right,75,83
marco fabian,fabian,eintracht frankfurt,mexico,79,bundesliga,28,168,75,75,75,75,44,81,34,76,20,66,72,64,88,77,69,68,77,39,80,80,81,78,81,71,77,74,77,86,61,36,78,78,76,right,81,75
mauricio santos nascimento,mauricio,lazio,brazil,79,calcio a,29,185,74,32,52,62,79,55,78,68,80,80,69,84,57,51,69,79,54,79,53,67,56,44,55,88,46,40,42,60,78,79,47,45,74,right,50,71
christian noboa,noboa,zenit st. petersburg,ecuador,79,russian football premier league,32,183,74,74,80,81,75,80,78,73,77,71,73,68,77,63,73,76,76,75,79,75,75,76,77,79,75,74,65,66,74,76,71,82,72,right,78,90
artem dzyuba,dzyuba,zenit st. petersburg,russia,79,russian football premier league,29,196,76,83,77,55,15,78,30,69,25,93,71,75,50,72,73,85,67,19,66,71,79,65,69,60,76,61,77,32,88,29,75,60,70,right,71,83
seydou doumbia,doumbia,sporting cp,cote d'ivoire,79,liga nos,30,179,80,77,80,65,39,77,29,90,34,73,91,65,70,77,91,73,67,37,75,73,79,79,77,83,74,46,77,70,74,39,77,71,80,right,79,78
gustavo bou,bou,club tijuana,argentina,79,liga bancomer mx,28,177,77,79,71,61,22,79,39,76,19,76,76,52,74,74,76,73,69,21,73,71,80,66,78,77,71,69,80,76,74,30,78,71,78,right,79,82
jonathas de jesus mauricio,jonathas,hannover 96,brazil,79,bundesliga,29,190,74,81,73,46,24,78,28,72,24,87,75,79,59,74,77,80,58,32,73,63,85,40,72,75,65,61,80,53,78,31,79,38,75,right,72,66
francis coquelin,coquelin,arsenal,france,79,laliga santander,26,178,74,62,52,71,80,78,85,65,77,76,66,91,74,43,67,80,67,80,57,75,71,55,75,80,67,60,41,81,60,78,52,41,74,right,72,79
benjamin hubner,hubner,tsg 1899 hoffenheim,germany,79,bundesliga,28,193,78,41,50,49,84,63,79,54,82,78,55,76,47,45,55,73,51,79,22,57,52,40,60,61,51,47,20,49,83,82,31,42,69,left,58,62
rafael pereira da silva,rafael,olympique lyonnais,brazil,79,ligue 1 conforama,27,172,77,77,58,69,77,78,74,84,76,72,81,85,77,59,78,78,72,82,66,76,70,75,78,81,63,79,49,83,62,75,59,51,76,right,77,84
wilfried bony,bony,swansea city,cote d'ivoire,79,premier league,29,182,72,83,77,45,42,75,38,63,25,90,66,68,67,76,68,81,59,28,76,68,83,66,73,83,65,45,80,71,82,39,80,58,77,right,72,73
nicolas tagliafico,tagliafico,independiente,argentina,79,eredivisie,25,172,74,66,46,66,78,75,77,92,79,62,88,73,83,33,85,72,66,78,44,69,66,61,76,84,68,67,57,82,76,78,55,40,73,left,74,88
marco benassi,benassi,fiorentina,italy,79,calcio a,23,184,75,77,51,76,77,78,75,69,64,77,68,74,75,70,68,77,76,74,79,82,82,71,77,69,75,72,63,67,72,72,70,65,75,right,78,82
sofiane boufal,boufal,southampton,morocco,79,premier league,24,170,70,76,69,66,40,86,19,83,44,31,82,47,90,70,81,43,72,32,69,76,71,71,85,33,73,70,72,85,35,36,71,69,69,right,87,67
jose luis gaya pena,gaya,valencia cf,spain,79,laliga santander,22,172,78,72,52,75,76,76,76,83,77,61,86,74,80,59,89,68,75,79,59,78,58,80,77,75,70,81,56,82,60,75,58,49,70,left,77,77
max meyer,meyer,fc schalke 04,germany,79,bundesliga,22,173,78,74,60,72,36,82,41,79,32,37,72,61,91,60,67,53,77,27,61,81,45,74,84,59,81,74,68,90,37,35,62,66,78,right,84,78
leander dendoncker,dendoncker,rsc anderlecht,belgium,79,belgium pro league,22,189,77,71,44,78,80,73,78,66,71,82,68,75,59,71,70,83,76,78,76,78,86,72,69,77,76,75,66,62,79,77,71,71,74,right,68,93
anderson souza conceicao,anderson talisca,besiktas jk,brazil,79,super lig,24,191,77,84,71,77,64,77,63,73,50,72,75,65,73,76,76,71,78,45,87,77,84,86,76,52,75,78,79,60,74,59,81,87,74,left,77,76
diego javier llorente rios,diego llorente,real sociedad,spain,79,laliga santander,24,186,76,43,53,69,80,76,82,59,79,72,61,75,59,31,62,72,62,81,37,78,45,30,61,69,51,55,39,51,77,80,40,35,69,right,51,71
wylan cyprien,cyprien,ogc nice,france,79,ligue 1 conforama,23,180,72,69,53,75,78,81,79,78,69,79,79,78,81,60,79,81,77,68,79,79,82,78,80,80,76,74,74,75,67,73,75,79,79,right,80,86
kingsley coman,coman,fc bayern munchen,france,79,bundesliga,21,178,76,75,70,62,15,79,23,93,11,58,92,36,87,77,92,58,72,15,73,74,76,84,82,73,69,77,75,84,52,19,75,70,73,right,84,74
angel correa,correa,atletico madrid,argentina,79,laliga santander,23,173,82,79,55,56,51,85,45,85,46,59,82,41,87,77,79,57,65,44,83,65,78,82,85,52,69,64,82,83,61,49,80,65,71,right,87,67
lisandro lopez,lopez,sl benfica,argentina,79,calcio a,28,188,76,38,48,58,79,65,80,64,77,82,66,79,64,50,68,79,50,78,44,67,67,37,64,87,41,33,48,55,81,79,51,32,75,right,61,73
ivan marcone,marcone,club atletico lanus,argentina,79,primera division,27,183,79,56,59,83,78,73,79,57,73,82,49,81,58,49,42,80,70,71,66,78,73,59,68,41,65,58,48,60,73,76,58,60,73,right,66,84
emiliano rigoni,rigoni,zenit st. petersburg,argentina,79,russian football premier league,25,178,69,75,60,71,41,77,33,90,46,58,86,44,78,71,82,61,76,55,73,75,71,81,78,57,77,81,75,68,46,43,73,78,71,left,82,80
nikola maksimovic,maksimovic,napoli,serbia,79,russian football premier league,26,193,71,29,26,59,84,61,80,62,81,86,65,77,51,28,68,78,47,79,29,59,39,29,55,67,31,45,22,58,82,82,28,23,70,right,49,67
davide zappacosta,zappacosta,chelsea,italy,79,premier league,25,182,75,71,59,66,77,73,75,78,75,71,82,75,75,68,85,76,70,79,72,72,74,72,75,69,64,79,60,77,68,75,66,59,72,right,76,90
mahmoud dahoud,dahoud,borussia dortmund,germany,79,bundesliga,22,177,74,65,55,78,65,82,67,78,63,58,73,68,87,49,69,67,77,61,78,87,72,58,80,70,81,67,60,78,42,62,65,48,59,right,81,85
victor lindelof,lindelof,manchester united,sweden,79,premier league,23,187,78,37,55,68,79,62,81,68,79,79,70,80,64,34,72,79,62,77,57,74,68,64,61,81,49,48,36,47,78,79,48,66,70,right,59,77
malcom filipe silva de oliveira,malcom,fc girondins de bordeaux,brazil,79,ligue 1 conforama,21,171,76,76,66,66,15,80,15,86,16,62,83,51,93,63,80,63,74,17,75,76,73,72,82,58,77,73,73,84,57,20,73,78,74,left,83,74
marcos acuna,acuna,sporting cp,argentina,79,liga nos,26,172,75,72,43,71,58,79,63,85,53,71,84,74,84,68,84,76,78,54,83,76,78,87,80,69,78,86,67,84,55,57,72,78,82,left,79,87
florin andone,andone,rc deportivo,romania,79,laliga santander,24,180,84,84,74,53,52,76,51,79,27,75,78,83,78,77,78,80,62,38,74,64,79,58,75,79,67,62,79,69,76,45,78,55,86,right,73,87
francisco soares dos santos,soares,fc porto,brazil,79,liga nos,27,187,81,83,68,54,45,77,40,82,33,83,85,90,74,73,87,85,59,35,66,66,77,69,76,78,58,52,80,77,77,43,76,40,79,right,74,86
mikel oyarzabal ugarte,oyarzabal,real sociedad,spain,79,laliga santander,20,181,81,80,47,73,32,82,29,71,35,59,73,40,72,64,75,57,76,30,77,79,73,63,79,58,78,81,75,69,44,33,73,55,69,left,81,67
miguel almiron,almiron,atlanta united,paraguay,79,major league soccer,24,175,79,74,58,70,66,78,60,90,45,50,89,55,87,75,88,59,74,59,72,79,78,72,79,49,78,68,73,74,43,56,73,70,69,left,79,81
lucas digne,digne,fc barcelona,france,79,laliga santander,24,178,76,67,58,69,77,79,77,79,74,72,80,75,71,45,81,75,75,81,69,80,77,68,75,75,72,78,52,80,64,75,61,57,71,left,73,80
yevhen konoplyanka,konoplyanka,fc schalke 04,ukraine,79,bundesliga,28,178,76,75,75,74,28,81,37,86,21,58,86,48,81,67,86,58,76,27,78,75,77,83,81,66,73,78,76,78,49,30,76,80,74,right,83,66
ukasz teodorczyk,teodorczyk,rsc anderlecht,poland,79,belgium pro league,26,188,79,83,65,64,22,74,24,66,13,81,70,77,63,76,74,80,63,20,69,69,77,50,70,75,65,58,82,58,84,26,77,49,79,right,69,80
djibril sidibe,sidibe,as monaco football club sa,france,79,ligue 1 conforama,25,182,74,76,43,70,78,77,76,78,75,75,80,76,68,42,82,79,74,79,68,76,69,77,75,83,69,79,70,67,66,76,67,73,75,right,76,90
riccardo saponara,saponara,fiorentina,italy,79,calcio a,26,184,70,78,68,76,34,85,30,71,26,69,75,52,71,64,78,66,79,30,66,82,72,80,81,64,83,76,64,71,58,33,67,70,76,right,83,72
lorenzo tonelli,tonelli,napoli,italy,79,calcio a,28,183,76,23,35,54,82,58,82,72,84,75,74,85,72,33,75,75,44,80,25,54,52,38,60,81,30,40,25,79,76,82,31,17,74,right,54,67
cedric ricardo alves soares,cedric,southampton,portugal,79,premier league,26,172,76,71,60,69,78,76,76,84,76,63,82,75,76,68,80,72,72,79,78,75,80,66,76,73,65,81,57,83,65,76,67,64,69,right,76,88
vladimir darida,darida,hertha bsc,czech republic,79,bundesliga,27,171,75,73,76,75,67,82,71,74,62,46,69,56,83,65,65,62,78,64,77,81,76,79,80,77,78,77,72,88,41,63,74,69,74,right,79,94
gabriel armando de abreu,gabriel paulista,valencia cf,brazil,79,laliga santander,27,187,78,51,51,69,83,65,79,64,80,77,66,78,66,48,68,76,65,80,50,69,61,55,64,75,61,67,42,68,77,80,49,46,68,right,60,73
jeison murillo,murillo,valencia cf,colombia,79,laliga santander,25,182,73,45,46,62,81,64,78,73,80,76,75,86,78,44,76,77,56,84,13,61,68,38,64,86,54,56,37,69,77,80,40,26,73,right,58,71
faouzi ghoulam,ghoulam,napoli,algeria,79,calcio a,27,188,78,64,76,70,79,75,74,74,74,73,80,74,68,52,84,78,71,78,69,74,80,73,73,73,58,80,54,62,70,76,64,68,72,left,74,91
paul-georges ntep,ntep,vfl wolfsburg,france,79,ligue 1 conforama,25,180,76,75,70,67,25,83,28,88,22,74,89,75,85,74,90,72,73,15,76,75,79,77,82,49,71,77,72,75,43,26,74,73,63,right,84,72
nicola sansone,sansone,villarreal cf,italy,79,laliga santander,26,175,74,78,66,65,44,80,38,84,15,65,83,68,87,73,82,67,73,33,82,75,83,76,82,66,79,68,80,87,65,35,80,69,76,right,84,72
salif sane,sane,hannover 96,senegal,79,bundesliga,27,196,76,48,43,65,80,68,80,62,72,86,65,84,60,26,68,81,62,73,53,70,76,33,66,51,61,57,36,37,88,78,48,58,74,right,67,75
federico fernandez,fernandez,swansea city,argentina,79,premier league,29,190,72,36,42,56,79,66,82,48,82,79,48,78,48,21,48,76,51,78,29,70,27,49,52,76,44,23,26,48,80,80,28,42,71,right,39,68
fernando lucas martins,fernando,spartak moscow,brazil,79,russian football premier league,26,175,73,47,61,82,78,76,80,70,79,69,73,80,74,45,76,74,75,77,72,78,73,82,68,80,75,60,63,81,62,77,65,82,70,right,58,80
jannik vestergaard,vestergaard,borussia monchengladbach,denmark,79,bundesliga,25,199,74,43,75,80,82,56,81,47,74,94,46,81,30,39,46,81,59,77,47,69,81,41,50,36,50,46,34,28,86,79,49,40,70,right,49,63
john stones,stones,manchester city,england,79,premier league,23,188,75,48,37,71,83,77,76,71,80,79,71,73,64,27,71,77,67,81,38,80,46,46,71,72,59,62,29,57,77,80,35,29,79,right,69,79
jose luis mendes andrade,ze luis,spartak moscow,cape verde islands,79,russian football premier league,27,184,80,78,75,44,19,81,29,80,18,83,81,76,64,75,81,78,59,24,64,63,79,66,77,92,75,45,75,61,84,28,74,54,72,left,80,68
sime vrsaljko,vrsaljko,atletico madrid,croatia,79,laliga santander,26,183,77,65,52,68,78,75,79,80,77,73,81,70,67,53,81,77,72,75,58,74,75,70,72,84,68,82,44,72,69,77,55,57,67,right,72,89
christoph kramer,kramer,borussia monchengladbach,germany,79,bundesliga,27,191,81,70,47,70,80,79,79,53,76,69,53,78,67,49,53,76,69,76,40,77,53,54,73,51,70,61,45,54,58,76,47,51,77,right,71,93
kurt zouma,zouma,stoke city,france,79,premier league,23,190,74,53,61,56,83,66,76,63,78,88,67,83,45,47,71,83,58,78,49,62,56,59,56,87,57,54,47,52,77,79,50,60,71,right,48,72
ruben pardo gutierrez,ruben pardo,real sociedad,spain,79,laliga santander,25,182,77,68,69,84,72,80,64,65,53,57,67,60,76,42,68,60,78,62,73,85,72,76,78,65,80,62,66,76,48,61,68,77,69,right,79,64
willi orban,orban,rb leipzig,germany,79,bundesliga,25,186,76,34,41,59,82,61,79,55,77,83,54,78,48,33,54,78,52,75,29,69,37,28,59,90,42,38,34,58,83,79,34,32,71,right,56,67
emmanuel adebayor,adebayor,medipol basaksehir fk,togo,79,super lig,34,191,76,79,80,55,25,71,31,67,23,83,69,70,65,79,71,74,66,19,66,71,80,70,71,77,76,58,79,52,90,32,77,44,85,right,73,57
jefferson farfan,farfan,lokomotiv moscow,peru,79,russian football premier league,33,178,75,75,81,74,43,80,39,82,17,79,84,73,75,70,84,76,79,29,76,79,83,82,78,77,80,82,76,66,58,34,78,76,81,right,79,69
franco cervi,cervi,sl benfica,argentina,79,liga nos,23,166,78,74,56,63,58,79,33,92,39,41,90,61,93,55,88,55,70,38,65,74,68,70,84,61,73,70,72,91,49,45,68,50,81,left,85,73
sandro wagner,wagner,fc bayern munchen,germany,79,bundesliga,30,194,79,83,64,42,39,74,19,53,15,90,60,88,53,75,65,83,50,12,72,54,85,55,67,61,47,49,83,50,88,30,80,54,72,right,65,68
bertrand traore,traore,olympique lyonnais,burkina faso,79,ligue 1 conforama,22,181,80,77,67,70,29,86,43,85,33,67,88,54,86,77,90,67,72,25,68,72,72,77,84,78,74,69,69,72,66,37,71,66,73,left,85,76
hirving lozano,lozano,psv,mexico,79,eredivisie,22,175,75,78,66,68,27,77,53,94,25,57,93,42,92,73,93,61,72,25,75,72,78,69,81,75,73,75,75,76,56,34,75,59,76,right,83,80
goncalo manuel ganchinho guedes,goncalo guedes,valencia cf,portugal,79,laliga santander,21,179,76,78,69,62,34,74,47,84,25,56,86,67,81,73,80,67,73,30,76,73,76,74,81,65,71,69,74,69,60,37,77,70,75,right,76,77
matthias ginter,ginter,borussia monchengladbach,germany,79,bundesliga,24,188,77,56,69,74,80,73,79,54,76,82,64,68,56,54,72,76,71,77,57,74,80,58,65,65,68,73,52,49,84,79,60,51,69,right,61,72
eliseu pereira dos santos,eliseu,sl benfica,portugal,78,liga nos,34,176,74,70,64,67,78,75,75,75,74,79,76,86,75,67,77,80,70,80,88,74,89,66,74,73,59,79,59,75,72,76,72,69,75,left,73,79
robin van persie,van persie,fenerbahce sk,holland,78,eredivisie,34,187,77,84,84,75,32,81,34,66,23,65,64,64,69,84,63,63,77,21,80,74,83,86,78,57,79,77,76,59,75,33,79,81,79,left,81,61
cesar gonzalez navas,cesar navas,rubin kazan,spain,78,russian football premier league,38,197,61,31,50,68,84,59,79,33,81,91,45,64,31,29,55,78,56,78,45,57,66,33,48,54,54,53,25,33,85,82,39,50,70,right,42,68
john terry,terry,aston villa,england,78,efl championship,37,187,74,38,52,64,80,59,79,33,81,83,34,77,42,55,34,73,57,78,33,66,61,44,52,80,59,42,46,46,83,80,47,31,82,right,45,50
joaquin sanchez rodriguez,joaquin,real betis,spain,78,laliga santander,36,179,71,77,75,81,41,83,35,71,29,60,68,53,71,68,65,51,81,39,76,80,74,86,82,37,81,84,74,75,56,38,74,77,80,right,85,35
emmanuel adebayor,adebayor,medipol basaksehir fk,togo,78,super lig,34,191,75,78,79,55,25,70,31,67,23,82,69,70,65,78,71,73,65,19,66,70,79,69,70,76,75,58,78,52,90,32,76,44,84,right,72,57
sergey ignashevich,ignashevich,cska moscow,russia,78,russian football premier league,38,187,70,54,76,77,82,49,79,33,84,80,34,76,63,32,34,70,62,78,67,70,83,51,52,54,50,49,50,57,82,82,61,66,77,right,46,50
marco borriello,borriello,spal,italy,78,calcio a,35,185,77,85,74,45,24,78,24,57,18,78,61,58,67,70,65,70,61,20,50,68,80,61,72,78,62,55,83,60,80,27,75,74,81,left,69,61
burak yilmaz,yilmaz,trabzonspor,turkey,78,super lig,32,188,81,86,79,60,29,62,33,83,20,77,82,85,72,77,81,76,65,26,73,66,85,66,67,66,62,68,82,48,72,31,81,75,65,right,69,67
jimmy briand,briand,en avant de guingamp,france,78,ligue 1 conforama,32,181,76,79,69,68,46,75,42,71,43,78,75,69,79,79,79,75,74,41,70,79,77,67,75,82,78,71,79,65,79,47,76,66,76,right,75,74
sergio garcia de la fuente,sergio garcia,rcd espanyol,spain,78,laliga santander,34,174,79,81,78,70,30,79,29,75,19,73,75,61,66,72,75,64,73,28,76,76,77,80,79,40,77,67,78,73,70,30,77,64,80,right,83,55
robert huth,huth,leicester city,germany,78,premier league,33,191,75,34,54,65,77,53,76,29,80,90,30,91,26,56,30,84,48,76,54,61,75,30,42,59,32,31,46,45,83,78,54,59,64,right,31,70
bruno eduardo regufe alves,bruno alves,rangers fc,portugal,78,scottish premiership,36,189,70,52,75,75,77,70,69,60,78,91,56,90,68,60,52,85,68,70,78,68,83,77,69,93,58,67,62,63,79,75,69,80,82,right,68,69
blerim dzemaili,dzemaili,impact montreal,switzerland,78,calcio a,31,179,80,77,68,74,70,78,69,68,64,71,66,78,67,75,65,75,76,69,81,78,86,79,76,59,77,75,69,67,62,67,75,70,79,right,77,83
ragnar klavan,klavan,liverpool,estonia,78,premier league,32,187,75,38,44,73,81,70,75,54,79,78,57,77,61,34,59,76,63,77,56,72,67,48,62,76,60,52,38,54,78,78,48,34,70,left,56,70
lisandro lopez,lopez,racing club,argentina,78,primera division,35,174,76,81,84,68,55,80,59,77,25,73,80,57,82,74,83,71,71,24,75,75,77,76,78,80,71,66,77,79,76,46,77,73,79,right,76,76
gokhan gonul,gonul,besiktas jk,turkey,78,super lig,33,175,78,76,67,68,78,77,76,80,75,65,80,74,79,57,80,71,72,75,65,74,70,65,78,78,72,78,58,82,60,75,63,48,78,right,79,81
oscar wendt,wendt,borussia monchengladbach,sweden,78,bundesliga,32,181,77,77,65,76,80,80,71,77,79,68,78,69,73,50,78,70,77,79,65,79,76,79,77,68,72,82,56,72,63,76,63,71,74,left,76,77
jesus navas gonzalez,jesus navas,sevilla fc,spain,78,laliga santander,32,170,77,74,56,69,20,79,33,89,27,34,88,50,87,75,87,50,73,26,70,76,75,80,81,62,73,77,58,87,47,28,65,46,70,right,81,79
roberto soldado rillo,soldado,fenerbahce sk,spain,78,super lig,32,180,79,83,79,58,41,79,41,59,33,70,60,73,65,81,61,67,73,38,71,78,79,70,73,76,78,74,78,64,78,42,77,65,79,right,71,54
jose sand,sand,club atletico lanus,argentina,78,liga dimayor,37,182,84,84,84,44,24,84,33,47,26,71,43,75,67,80,39,70,63,29,73,71,76,54,73,73,73,56,84,68,84,33,80,66,82,right,66,63
per ciljan skjelbred,skjelbred,hertha bsc,norway,78,bundesliga,30,175,77,60,55,79,77,80,81,68,66,67,67,79,78,40,66,75,75,74,42,79,56,70,78,74,76,69,46,81,52,72,48,61,75,right,77,87
rodrigo palacio,palacio,bologna,argentina,78,calcio a,36,175,76,84,79,60,33,84,39,79,31,62,78,79,78,76,78,68,71,30,62,74,70,78,82,80,76,70,80,83,75,38,74,67,80,right,82,69
pablo batalla,batalla,bursaspor,argentina,78,super lig,34,170,79,71,82,71,45,75,42,74,31,65,72,74,78,70,70,70,82,31,69,86,72,76,76,72,86,80,70,86,79,42,71,78,75,right,76,76
vitorino hilton da silva,hilton,montpellier herault sc,brazil,78,ligue 1 conforama,40,180,73,50,64,76,79,73,80,34,79,76,38,76,60,51,42,71,68,77,59,75,55,42,68,80,67,60,45,60,79,79,51,48,75,right,65,54
michael bradley,bradley,toronto fc,united states,78,major league soccer,30,188,77,66,69,80,73,78,71,61,71,78,64,79,71,71,67,80,77,71,74,81,78,72,76,53,75,71,61,74,64,71,68,71,79,right,75,91
clint dempsey,dempsey,seattle sounders fc,united states,78,major league soccer,35,185,77,80,71,69,40,78,29,64,29,73,64,68,67,75,64,70,71,26,75,76,82,72,77,78,74,59,79,64,77,37,78,73,79,right,79,66
thomas vermaelen,vermaelen,fc barcelona,belgium,78,laliga santander,32,183,70,41,62,72,77,64,73,69,75,79,68,77,60,56,67,74,67,78,68,78,78,61,60,88,51,63,52,57,81,76,61,65,72,left,55,58
scott dann,dann,crystal palace,england,78,premier league,31,188,77,36,30,65,78,63,80,44,77,82,45,73,49,29,45,77,52,78,32,63,52,30,51,69,55,30,40,54,85,79,40,29,71,right,38,73
jefferson farfan,farfan,lokomotiv moscow,peru,78,russian football premier league,33,178,75,74,79,73,43,79,39,82,17,78,83,73,75,69,83,75,77,29,75,77,81,80,77,76,78,80,75,66,58,34,76,75,80,right,78,69
ibrahim afellay,afellay,stoke city,holland,78,premier league,31,180,75,73,70,74,67,82,62,76,36,64,75,59,76,72,74,65,78,58,76,81,75,79,80,75,75,78,71,77,46,54,73,75,78,right,80,70
mathieu debuchy,debuchy,arsenal,france,78,ligue 1 conforama,32,177,75,64,66,73,79,74,75,71,78,71,69,79,74,62,68,74,73,78,68,75,74,74,73,81,64,79,59,74,74,77,65,61,75,right,72,73
christian gentner,gentner,vfb stuttgart,germany,78,bundesliga,32,189,78,74,65,76,77,77,77,48,70,82,49,72,52,76,50,80,73,74,77,78,79,69,70,61,75,67,73,49,76,74,75,54,80,right,70,86
fabio quagliarella,quagliarella,sampdoria,italy,78,calcio a,35,180,76,82,77,71,21,81,26,74,15,78,71,44,71,85,68,68,71,15,89,71,87,76,77,69,71,66,80,75,60,24,83,78,78,right,75,69
riccardo montolivo,montolivo,milan,italy,78,calcio a,33,181,80,50,76,86,72,85,76,49,64,69,56,64,67,74,62,68,82,68,84,84,84,79,78,61,84,76,54,75,60,69,68,76,82,right,75,69
fran. javier garcia fernandez,javi garcia,real betis,spain,78,laliga santander,31,186,73,62,61,74,75,74,78,64,78,80,65,86,62,59,66,81,67,73,54,82,82,55,68,90,63,47,59,55,86,77,63,44,80,right,66,77
fernando javier llorente torres,llorente,tottenham hotspur,spain,78,premier league,33,195,80,85,70,49,25,77,25,45,15,91,49,71,36,80,52,78,60,15,64,71,79,57,67,56,70,44,78,33,90,28,75,40,82,right,67,63
guillaume gillet,gillet,olympiacos cfp,belgium,78,hellas liga,34,186,75,76,69,77,79,77,77,68,72,78,67,77,66,71,66,80,74,77,72,79,73,67,73,79,72,70,75,54,78,76,74,65,82,right,72,88
nicolas lombaerts,lombaerts,kv oostende,belgium,78,belgium pro league,32,188,72,39,48,73,81,59,79,33,81,79,39,71,55,43,44,75,65,77,53,75,67,59,58,79,48,63,38,54,83,80,48,57,76,left,55,69
adriano correia claro,adriano,besiktas jk,brazil,78,super lig,33,172,79,77,59,77,77,82,78,77,74,69,75,75,77,53,74,72,77,80,85,79,88,84,81,74,69,81,59,76,65,75,71,69,81,left,81,74
fernando gago,gago,boca juniors,argentina,78,primera division,31,178,76,64,69,74,77,76,78,57,73,65,62,70,72,55,66,68,76,75,68,80,76,66,73,72,81,69,47,70,59,74,59,67,70,right,71,73
marco ruben,ruben,rosario central,argentina,78,primera division,31,178,78,82,74,58,40,80,46,77,31,73,76,65,71,68,76,71,64,27,67,68,75,64,75,80,70,60,83,72,75,41,77,56,75,right,72,69
ignazio abate,abate,milan,italy,78,calcio a,31,180,76,72,48,74,76,77,76,82,72,70,85,76,75,60,88,75,71,76,60,76,68,69,77,75,64,76,38,75,64,74,52,44,78,right,77,83
salvatore bocchetti,bocchetti,spartak moscow,italy,78,russian football premier league,31,186,67,31,45,66,79,65,77,69,79,83,66,81,68,38,64,77,55,77,47,61,76,30,62,82,51,56,45,64,76,78,51,25,73,left,57,62
marcio rafael ferreira de souza,rafinha,fc bayern munchen,brazil,78,bundesliga,32,172,77,66,63,64,78,77,77,76,80,51,72,88,81,50,69,65,73,82,44,79,61,79,76,53,63,81,37,79,50,76,47,58,77,right,74,77
jack cork,cork,burnley,england,78,premier league,28,185,77,67,56,78,78,77,80,61,71,78,58,72,63,61,55,77,74,76,52,80,69,73,74,73,75,65,56,70,73,76,59,58,80,right,74,81
steven defour,defour,burnley,belgium,78,premier league,29,175,78,72,69,77,73,77,81,70,72,66,67,81,74,65,64,71,78,71,74,79,75,76,76,71,80,75,66,78,62,73,70,73,79,right,75,73
eljero elia,elia,medipol basaksehir fk,holland,78,super lig,31,179,73,73,65,61,32,82,32,92,22,64,90,66,87,70,89,67,69,30,72,74,78,78,84,68,67,68,67,81,50,31,71,52,71,right,87,74
vadis odjidja-ofoe,odjidja-ofoe,olympiacos cfp,belgium,78,hellas liga,29,183,72,69,72,78,72,78,70,65,63,83,65,75,54,66,65,79,78,69,73,82,82,64,73,80,85,70,69,51,68,68,72,71,77,right,76,74
adrian ramos,ramos,granada cf,colombia,78,laliga 1 i 2 i 3,32,186,77,78,72,55,33,75,43,77,23,76,80,58,75,73,83,72,65,28,64,69,76,68,74,91,65,68,78,68,86,37,74,48,78,right,74,73
cristian zapata,zapata,milan,colombia,78,calcio a,31,186,64,35,38,58,82,55,80,64,84,86,66,78,58,22,68,79,46,78,28,50,60,38,57,82,38,45,22,58,76,81,32,24,68,right,55,67
miguel luis pinto veloso,miguel veloso,genoa,portugal,78,calcio a,31,180,69,65,73,85,72,82,73,68,70,74,61,71,69,70,55,72,82,70,80,83,80,83,76,74,80,82,61,75,67,71,70,81,81,left,73,67
paul baysse,baysse,malaga cf,france,78,ligue 1 conforama,29,185,74,48,50,70,79,65,74,62,78,84,65,78,61,29,67,80,66,74,50,74,59,56,64,76,60,65,40,66,82,78,46,36,69,right,62,73
esteban granero molina,granero,rcd espanyol,spain,78,laliga santander,30,180,77,72,73,82,74,81,72,60,54,68,57,73,69,58,55,63,82,62,77,84,78,80,77,56,82,78,69,67,59,65,72,76,71,right,78,46
thomas mangani,mangani,angers sco,france,78,ligue 1 conforama,30,183,74,68,75,79,76,80,75,64,71,73,63,72,68,67,62,74,76,73,75,79,78,74,73,69,78,68,66,61,68,73,71,79,75,left,71,79
miguel layun,layun,fc porto,mexico,78,laliga santander,29,179,74,73,74,74,77,76,78,77,72,66,78,72,74,66,78,71,75,76,76,76,80,68,76,75,71,80,67,78,63,74,72,74,79,right,75,78
pedro mosquera parada,mosquera,rc deportivo,spain,78,laliga santander,29,184,76,70,51,80,77,79,80,65,59,68,56,77,69,51,48,75,75,65,62,81,61,79,70,68,76,61,58,60,65,70,59,70,71,left,65,89
sung yueng ki,ki sung yueng,swansea city,korea republic,78,premier league,29,186,67,73,76,81,70,81,54,61,55,72,65,66,70,55,68,70,81,71,72,86,83,76,75,70,81,74,72,59,71,62,74,77,81,right,75,71
